fixture_id,user_id,session_id,sequence_index,turn_index,buying_or_browsing_label,split,product_family,has_entangled_memory,memory_id,label,label_reason,origin_user_id,origin_session_id,origin_sequence_index,hard_negative_type,memory_text,query_scope,current_category,memory_scope,memory_source,memory_polarity,memory_confidence,raw_cosine,tangent_norm,rho,projected_norm,requested_local_k,actual_local_k,requested_rank,effective_rank,candidate_universe,projection_fallback_reason
u1_stable_s5_final,u1_stable,u1_stable_s5,5,1,Buying,development,footwear,False,memory_b137fb62ade8f42c137be89c0c96f4104dddc3179a7927522b034d2429087c12,CROSS_DOMAIN_DISTRACTOR,Tank-top material history has no legitimate product-discrimination role for trail shoes.,u1_stable,u1_stable_s0,0,easy_distractor,material: polyester,footwear,shoes,,user,positive,1.0,0.3072747248881399,0.9516208506778937,0.05875436035573047,0.23066622217103475,500,500,16,16,m0_full_catalogue,
u1_stable_s5_final,u1_stable,u1_stable_s5,5,1,Buying,development,footwear,False,memory_0ed81e200ee4764a4b7f6ab6155973755d8cb39e424b4f6f3c70ddda299c8dc9,USEFUL_ADDITIONAL_STEERING,A recurring breathable-material preference is not stated in the trail-shoe request and can discriminate among plausible shoes.,u1_stable,u1_stable_s2,2,none,fit: breathable,footwear,shoes,,user,positive,1.0,0.39933978831212363,0.9168029959979561,0.12794111608655834,0.3279299583773556,500,500,16,16,m0_full_catalogue,
u1_stable_s5_final,u1_stable,u1_stable_s5,5,1,Buying,development,footwear,False,memory_48eb8d0fbf22677872b108fb0b5a945625963c01cf215db13677f80735305ef8,USEFUL_ADDITIONAL_STEERING,Natural-material preference adds a legitimate unstated material preference without relying on the target.,u1_stable,u1_stable_s2,2,none,fit: natural,footwear,shoes,,user,positive,1.0,0.3323455857994078,0.9431576811963355,0.048433409474159306,0.2075662932260653,500,500,16,16,m0_full_catalogue,
u1_stable_s5_final,u1_stable,u1_stable_s5,5,1,Buying,development,footwear,False,memory_1302a2cb6e26bf90d00de3f696dfaf28d6166ae82502008e2b69ccf4204e1e9a,SAME_CATEGORY_HARD_NEGATIVE,The narrow price came from one sandal task and is not established as portable to trail shoes.,u1_stable,u1_stable_s3,3,nearby_non_portable,budget: at most 50,footwear,shoes,,user,positive,1.0,0.2280101968475348,0.973658744187895,0.005551043558477717,0.07254276224429998,500,500,16,16,m0_full_catalogue,
u1_stable_s5_final,u1_stable,u1_stable_s5,5,1,Buying,development,footwear,False,memory_72b9f5d31e8ac5a15b50807ebc8a09d864d7ba4552440dfb313a35082f7cad00,SAME_CATEGORY_HARD_NEGATIVE,A one-off sandal styling requirement should not automatically steer trail shoes.,u1_stable,u1_stable_s3,3,nearby_non_portable,style: simple,footwear,shoes,,user,positive,1.0,0.2871509257354137,0.9578853510986035,0.05299152274838752,0.2205041328538821,500,500,16,16,m0_full_catalogue,
u1_stable_s5_final,u1_stable,u1_stable_s5,5,1,Buying,development,footwear,False,memory_bdc7127d08aba9c7c9cbd363b1cb753dabba2217017b99ff55c3977be14ab6de,SAME_CATEGORY_HARD_NEGATIVE,A named sandal construction is footwear-near but incompatible with trail running shoes.,u1_stable,u1_stable_s3,3,same_category,style: yoga sling 2,footwear,shoes,,user,positive,1.0,0.43566462963436914,0.900109065883434,0.1069812564933506,0.29440757889609165,500,500,16,16,m0_full_catalogue,
u1_stable_s6_final,u1_stable,u1_stable_s6,6,3,Buying,held_out,footwear,False,memory_0ed81e200ee4764a4b7f6ab6155973755d8cb39e424b4f6f3c70ddda299c8dc9,RELEVANT_BUT_REDUNDANT,The current state already asks for breathable mesh fabric.,u1_stable,u1_stable_s2,2,none,fit: breathable,footwear,shoes,,user,positive,1.0,0.3946788295754711,0.9188191451449714,0.23632617443350437,0.44666914246012973,500,500,16,16,m0_full_catalogue,
u1_stable_s6_final,u1_stable,u1_stable_s6,6,3,Buying,held_out,footwear,False,memory_1302a2cb6e26bf90d00de3f696dfaf28d6166ae82502008e2b69ccf4204e1e9a,SAME_CATEGORY_HARD_NEGATIVE,The current request already states an under-$120 budget; a one-off $50 sandal cap should not override it.,u1_stable,u1_stable_s3,3,nearby_non_portable,budget: at most 50,footwear,shoes,,user,positive,1.0,0.1623770958872622,0.9867287766814239,0.019520585021374423,0.13786188450965034,500,500,16,16,m0_full_catalogue,
u1_stable_s6_final,u1_stable,u1_stable_s6,6,3,Buying,held_out,footwear,False,memory_bdc7127d08aba9c7c9cbd363b1cb753dabba2217017b99ff55c3977be14ab6de,SAME_CATEGORY_HARD_NEGATIVE,A sandal-specific style is not portable to slip-on sneakers.,u1_stable,u1_stable_s3,3,same_category,style: yoga sling 2,footwear,shoes,,user,positive,1.0,0.4209244403495868,0.907095703614777,0.15178946486899275,0.3534060073191061,500,500,16,16,m0_full_catalogue,
u1_stable_s6_final,u1_stable,u1_stable_s6,6,3,Buying,held_out,footwear,False,memory_9a05acb2deb3f06e2a9b6e7a9617c76a131083e9be953286ea2c4bf3e3aefd76,USEFUL_ADDITIONAL_STEERING,A prior casual-use preference adds an unstated use-context discriminator among plausible slip-ons.,u1_stable,u1_stable_s3,3,none,use_case: casual,footwear,shoes,,user,positive,1.0,0.2673138551149799,0.963609517835709,0.06274743168351891,0.2413787647849227,500,500,16,16,m0_full_catalogue,
u1_stable_s6_final,u1_stable,u1_stable_s6,6,3,Buying,held_out,footwear,False,memory_648c4a2632d8bf1ef4c79a52c4a14f26254b0dde951d71241e3cd77a9cd7aa7d,SAME_CATEGORY_HARD_NEGATIVE,Synthetic trail-shoe material is nearby history that conflicts with the current breathable fabric upper.,u1_stable,u1_stable_s5,5,same_category,material: synthetic,footwear,shoes,shoes,user,positive,1.0,0.35718588976325427,0.9340333185459887,0.07493307849553407,0.25568141352028034,500,500,16,16,m0_full_catalogue,
u1_stable_s6_final,u1_stable,u1_stable_s6,6,3,Buying,held_out,footwear,False,memory_b3f5edf3afdc3ef72f18aef5fbb471e990a1a39c5082257ba244afd9ee6d0e60,SAME_CATEGORY_HARD_NEGATIVE,Trail-running use is footwear-similar but episodic and should not steer everyday slip-ons.,u1_stable,u1_stable_s5,5,contextual_requirement,use_case: trail running,footwear,shoes,shoes,user,positive,1.0,0.29092698069305106,0.9567452596719909,0.1506196217712965,0.3713103866052102,500,500,16,16,m0_full_catalogue,
u1_stable_s8_final,u1_stable,u1_stable_s8,8,1,Buying,development,apparel,False,memory_0ed81e200ee4764a4b7f6ab6155973755d8cb39e424b4f6f3c70ddda299c8dc9,RELEVANT_BUT_REDUNDANT,Breathability is closely implied by the explicit cotton composition and adds little new steering.,u1_stable,u1_stable_s2,2,none,fit: breathable,apparel,clothing,,user,positive,1.0,0.34905834680605746,0.9371009927030395,0.10593781380455987,0.3050084726908291,500,500,16,16,m0_full_catalogue,
u1_stable_s8_final,u1_stable,u1_stable_s8,8,1,Buying,development,apparel,False,memory_48eb8d0fbf22677872b108fb0b5a945625963c01cf215db13677f80735305ef8,RELEVANT_BUT_REDUNDANT,Natural material is already substantially represented by the explicit cotton request.,u1_stable,u1_stable_s2,2,none,fit: natural,apparel,clothing,,user,positive,1.0,0.2965755819946781,0.955009384333221,0.06049654945008558,0.23489455180417637,500,500,16,16,m0_full_catalogue,
u1_stable_s8_final,u1_stable,u1_stable_s8,8,1,Buying,development,apparel,False,memory_04625e0f0ca001746f0c3e017e5e203f4629bc0c1033b51aa81cdc59559711a1,CROSS_DOMAIN_DISTRACTOR,A gym-bag task is a different product family and supplies no useful underwear preference.,u1_stable,u1_stable_s4,4,easy_distractor,use_case: gym,apparel,clothing,,user,positive,1.0,0.16183650609667674,0.9868175846094456,0.09289116022498048,0.3007627697950244,500,500,16,16,m0_full_catalogue,
u1_stable_s8_final,u1_stable,u1_stable_s8,8,1,Buying,development,apparel,False,memory_190d8e8c11cee758cd3213ada6ff31b6711dbe9b49cdcf72174b187efbd91504,USEFUL_ADDITIONAL_STEERING,"The current underwear request has no price constraint, so the established budget adds legitimate discrimination.",u1_stable,u1_stable_s5,5,none,budget: at most 120,apparel,clothing,shoes,user,positive,1.0,0.20090351446247767,0.979611033970435,0.014311622339745488,0.11719203728512892,500,500,16,16,m0_full_catalogue,
u1_stable_s8_final,u1_stable,u1_stable_s8,8,1,Buying,development,apparel,False,memory_b3f5edf3afdc3ef72f18aef5fbb471e990a1a39c5082257ba244afd9ee6d0e60,CROSS_DOMAIN_DISTRACTOR,Trail-running shoe use has no bearing on cotton underwear.,u1_stable,u1_stable_s5,5,easy_distractor,use_case: trail running,apparel,clothing,shoes,user,positive,1.0,0.17285919982181217,0.9849465452688095,0.1056315853889911,0.3201176075623114,500,500,16,16,m0_full_catalogue,
u1_stable_s8_final,u1_stable,u1_stable_s8,8,1,Buying,development,apparel,False,memory_fefadad6aa54a7c220373a356f0057ea98e0e5d9d5a125fea9ad7983807114d4,USEFUL_ADDITIONAL_STEERING,The current request omits colour and the stable neutral preference can discriminate among otherwise suitable products.,u1_stable,u1_stable_s6,6,none,color: neutral,apparel,clothing,shoes,user,positive,1.0,0.2474616835958373,0.9688976804347886,0.052231040721290777,0.2214329562757981,500,500,16,16,m0_full_catalogue,
u1_stable_s9_final,u1_stable,u1_stable_s9,9,1,Buying,held_out,apparel,False,memory_0ed81e200ee4764a4b7f6ab6155973755d8cb39e424b4f6f3c70ddda299c8dc9,RELEVANT_BUT_REDUNDANT,"Cotton is explicit in the current query, making this largely redundant.",u1_stable,u1_stable_s2,2,none,fit: breathable,apparel,clothing,,user,positive,1.0,0.27377521971201757,0.9617937040091479,0.11338680300928163,0.3238643816973629,500,500,16,16,m0_full_catalogue,
u1_stable_s9_final,u1_stable,u1_stable_s9,9,1,Buying,held_out,apparel,False,memory_72b9f5d31e8ac5a15b50807ebc8a09d864d7ba4552440dfb313a35082f7cad00,SAME_CATEGORY_HARD_NEGATIVE,The current distressed style conflicts with carrying over a one-off simple sandal aesthetic.,u1_stable,u1_stable_s3,3,nearby_non_portable,style: simple,apparel,clothing,,user,positive,1.0,0.28409281069039155,0.9587967849935843,0.08819476751972369,0.2847396726062269,500,500,16,16,m0_full_catalogue,
u1_stable_s9_final,u1_stable,u1_stable_s9,9,1,Buying,held_out,apparel,False,memory_04625e0f0ca001746f0c3e017e5e203f4629bc0c1033b51aa81cdc59559711a1,CROSS_DOMAIN_DISTRACTOR,Gym-bag history is a different shopping sub-domain.,u1_stable,u1_stable_s4,4,easy_distractor,use_case: gym,apparel,clothing,,user,positive,1.0,0.13602331250767993,0.9907056366320109,0.0753615662916064,0.2719691188467659,500,500,16,16,m0_full_catalogue,
u1_stable_s9_final,u1_stable,u1_stable_s9,9,1,Buying,held_out,apparel,False,memory_190d8e8c11cee758cd3213ada6ff31b6711dbe9b49cdcf72174b187efbd91504,USEFUL_ADDITIONAL_STEERING,"The T-shirt state has no price constraint, so the established budget remains additional and portable.",u1_stable,u1_stable_s5,5,none,budget: at most 120,apparel,clothing,shoes,user,positive,1.0,0.15886195516260634,0.9873008048218709,0.022447104464454377,0.14792093970087106,500,500,16,16,m0_full_catalogue,
u1_stable_s9_final,u1_stable,u1_stable_s9,9,1,Buying,held_out,apparel,False,memory_b3f5edf3afdc3ef72f18aef5fbb471e990a1a39c5082257ba244afd9ee6d0e60,CROSS_DOMAIN_DISTRACTOR,Trail-shoe use is unrelated to selecting a casual band T-shirt.,u1_stable,u1_stable_s5,5,easy_distractor,use_case: trail running,apparel,clothing,shoes,user,positive,1.0,0.18940086337600395,0.9818998487383651,0.09980792406101777,0.31020565216383134,500,500,16,16,m0_full_catalogue,
u1_stable_s9_final,u1_stable,u1_stable_s9,9,1,Buying,held_out,apparel,False,memory_fefadad6aa54a7c220373a356f0057ea98e0e5d9d5a125fea9ad7983807114d4,RELEVANT_BUT_REDUNDANT,"The current state already names black alongside red, so neutral colour adds little new information.",u1_stable,u1_stable_s6,6,none,color: neutral,apparel,clothing,shoes,user,positive,1.0,0.2709106217216217,0.9626045060347497,0.05049524322674578,0.21630827148522938,500,500,16,16,m0_full_catalogue,
